Symbol,Name,HGNC_ID,Evidence,Test method,Test in,Test setting,Pathway,Confidence,Caution,Protein encoded,UniProtKB,PMID,Remark
MIR9-1,microRNA 9-1,HGNC:31641,"Overexpression of miR‐9 suppressed GOT1, which subsequently reduced ferroptosis. Suppression of miR‐9 increased the sensitivity of melanoma cells to ferroptosis inducers.","Immunoblotting, luciferase reporter assay, qPCR, cell viability assay, MDA assay, iron assay, glutamate assay",Human,A375 and G‐361 cells,"MIR9 :-: GOT1, GOT1 :+: alpha KG, alpha KG :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,_NA_,_NA_,30035324,miR-9 in article
MIR9-2,microRNA 9-2,HGNC:31642,"Overexpression of miR‐9 suppressed GOT1, which subsequently reduced ferroptosis. Suppression of miR‐9 increased the sensitivity of melanoma cells to ferroptosis inducers.","Immunoblotting, luciferase reporter assay, qPCR, cell viability assay, MDA assay, iron assay, glutamate assay",Human,A375 and G‐361 cells,"MIR9 :-: GOT1, GOT1 :+: alpha KG, alpha KG :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,_NA_,_NA_,30035324,miR-9 in article
MIR9-3,microRNA 9-3,HGNC:31646,"Overexpression of miR‐9 suppressed GOT1, which subsequently reduced ferroptosis. Suppression of miR‐9 increased the sensitivity of melanoma cells to ferroptosis inducers.","Immunoblotting, luciferase reporter assay, qPCR, cell viability assay, MDA assay, iron assay, glutamate assay",Human,A375 and G‐361 cells,"MIR9 :-: GOT1, GOT1 :+: alpha KG, alpha KG :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,_NA_,_NA_,30035324,miR-9 in article
CBS,Cystathionine beta-synthase,HGNC:1550,Inhibition triggers ferroptosis in hepatocellular carcinoma.,"Cell viability, western blotting, LC/ESI-MS/MS, flow cytometry, xenograft mice","Human, mice","HepG2 cells, female ICR mice",CBS :-: Ferroptosis,Validated,_NA_,Cystathionine beta-synthase,P35520 (CBS_HUMAN),30258181,_NA_
NFE2L2,"Nuclear factor, erythroid 2 like 2",HGNC:7782,Associated with resistance to ferroptosis. Inhibition of Nrf2 sensitized cells to ferroptosis.,"Cell viability and cell death assays, ROS production measurement, RNAi, gene transfection, immunoblotting","Human, mice","HNC cell line (AMC-HN2–11), SNUcell lines (SNU-1041, -1066, and -1076), athymic BALB/c male nude mice","NFE2L2 :+: FTH1, FTH1 :-: Ferroptosis, NFE2L2 :+: FPN, FPN :-: Ferroptosis, NFE2L2 :+: HO-1, HO-1 :-: Ferroptosis",Validated,_NA_,Nuclear factor erythroid 2-related factor 2,Q16236 (NF2L2_HUMAN),30339884,Nrf2 in article
SQSTM1,Sequestosome 1,HGNC:11280,"Inhibition of the p62 gene significantly reduced cell viability and increased cellular lipid ROS levels in HN3R cells; this was reversed by treatment with ferrostatin-1, a ferroptosis inducer.","siRNA, qPRC, fluorescent microscopy and flow cytometry, ROS production measurement",Human,HN3 cells,"SQSTM1 :+: NFE2L2, NFE2L2 :+: FTH1, FTH1 :-: Ferroptosis, NFE2L2 :+: FPN, FPN :-: Ferroptosis, NFE2L2 :+: HO-1, HO-1 :-: Ferroptosis",Validated,Not test cell death or cell viability.,Sequestosome-1,Q13501 (SQSTM_HUMAN),30339884,p62 in article.
GPX4,Glutathione peroxidase 4,HGNC:4556,"Overexpression GPX4 resulted in decreased cell death after RSL3 treatment. Moreover, this effect was able to be reversed by overexpression of GPX4.","Cell viability, cell death, ROS determination, western blot",Human,"HCT116, LoVo, and HT29 CRC cells",GPX4 :-: Ferroptosis,Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),30524291,_NA_
ISCU,Iron-sulfur cluster assembly enzyme,HGNC:29882,Over expression significantly attenuated DHA induced ferroptosis.,"Cell viability, cell cycle, ROS determination, western blot, immunofluorescence, ectopic expressing, lentiviral transduction",Human,"HL60, KG1, THP-1 cells","ISCU :+: GSH, GSH :-: Ferroptosis",Validated,_NA_,Iron-sulfur cluster assembly enzyme ISCU,Q9H1K1 (ISCU_HUMAN),30557609,_NA_
FTH1,Ferritin heavy chain 1,HGNC:3976,FTH reconstituted cells exhibited the reduced lipid peroxides content and restored the DHA-induced ferroptosis.,"Cell viability, cell cycle, ROS determination, western blot, immunofluorescence, ectopic expressing, lentiviral transduction",Human,"HL60, KG1, THP-1 cells","FTH1 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Ferritin heavy chain,P02794 (FRIH_HUMAN),30557609,FTH in article
ACSL3,Acyl-CoA synthetase long chain family member 3,HGNC:3570,Required for exogenous monounsaturated fatty acids to protect cells against ferroptosis. Negatively correlates with ferroptosis sensitivity.,"Dead cell count, gene knockout, confocal imaging, thin-layer chromatography, BODIPY 493/503 imaging, CRISPR/Cas9, RT-qPCR, western blot",Human,"HEK293, HT-1080 cells",ACSL3 :-: Ferroptosis,Validated,_NA_,Long-chain-fatty-acid--CoA ligase 3,O95573 (ACSL3_HUMAN),30686757,_NA_
OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1",HGNC:23077,Inactivation promotes ferroptosis by down-regulating SLC7A11 levels. Overexpression is critical for tumor growth.,"CRISPR/Cas9, RNAi, cell death, western blot, qRT-PCR","Human, mice","H1299, SK-N-BE(2)C, T24, UM-UC-3, SW780 cells, nude mice","OTUB1 :+: SLC7A11, SLC7A11 :-: Ferroptosis",Validated,_NA_,Ubiquitin thioesterase OTUB1,Q96FW1 (OTUB1_HUMAN),30709928,_NA_
CD44,CD44 molecule (Indian blood group),HGNC:1681,Knockdown sensitizes cells to ferroptosis.,"Western blot, siRNA, cell death",Human,H1299 cells,"CD44 :+: SLC7A11, SLC7A11 :-: Ferroptosis",Validated,_NA_,CD44 antigen,P16070 (CD44_HUMAN),30709928,_NA_
LINC00336,Long intergenic non-protein coding RNA 336,HGNC:33813,Overexpression inhibits ferroptosis. Knockdown promotes ferroptosis.,"qRT-PCR, MTT assay, colony-formation assay, lipid ROS assays, iron assay, immunoblotting",Human,A549 and SPC-A-1 cells,(LINC00336/ELAVL1) :-: Ferroptosis,Validated,_NA_,Putative uncharacterized protein encoded by LINC00336,Q6ZUF6 (NC336_HUMAN),30787392,_NA_
STAT3,Signal transducer and activator of transcription 3,HGNC:11364,Upregulated in ferroptosis resistant cells. Inhibition increases ferroptosis.,"Cell viability tests, ROS and lipid peroxidation measures, MDA measurement, western blot",Human,Osteosarcoma cells MG63 and Saos-2,STAT3 :-: Ferroptosis,Validated,_NA_,Signal transducer and activator of transcription 3,P40763 (STAT3_HUMAN),30811078,_NA_
BRD4,Bromodomain containing 4,HGNC:13575,Inhibition induces ferroptosis.,"Cell proliferation assay, migration and invasion assays, RT-PCR, western blot, immunohistochemistry, iron assay",Human,"MDA-MB-231, Hs578T, H1299, A549 and MCF-10A cells, female athymic BALB/c nude mice","BRD4 :-: Ferritinophagy, Ferritinophagy :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Bromodomain-containing protein 4,O60885 (BRD4_HUMAN),30988278,_NA_
PRDX6,Peroxiredoxin 6,HGNC:16753,A negative regulator of ferroptotic cell death.,"Western blot, flow cytometry, SRB assay, gene transfection, shRNA, LOOH quantification",Human,H1299 cells,"PRDX6 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Peroxiredoxin-6,P30041 (PRDX6_HUMAN),31036877,_NA_
MIR17,microRNA 17,HGNC:31547,Protects endothelial HUVEC cells from erastin-induced ferroptosis. Overexpression significantly reduced erastin-induced growth inhibition and ROS generation of HUVEC cells.,"Lentivirus transduction, CCK-8 assay, DYE670 staining assay, ROS staining assay, RT-qPCR, western blot",Human,HUVEC cells,"MIR17 :-: A20, A20 :+: ACSL4, ACSL4 :+: Lipid ROS, A20 :-: GPX4, GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,_NA_,_NA_,31160087,miR-17-92 in article
SCD,Stearoyl-CoA desaturase,HGNC:10571,Inhibition of SCD1 induces ferroptotic cell death. Expression of SCD1 protects cells from ferroptosis.,"Cell viability, cell death, BODIPY staining, siRNA, RT-qPCR, western blot, gene overexpression, ","Human, mice","OVCAR-4, COV362, FT-t cells, mouse orthotopic xenograft model","SCD :+: CoQ10, CoQ10 :-: Ferroptosis",Validated,_NA_,Acyl-CoA desaturase,O00767 (ACOD_HUMAN),31270077,SCD1 in article
SESN2,Sestrin 2,HGNC:20746,"Has cytoprotective effect against ferroptosis. In cells expressing Sesn2, erastin-induced cell death, ROS formation, and glutathione depletion were almost completely inhibited compared to that in control cells.","MTT assay, RT-PCR, luciferase assay, immunoblot, siRNA, Lipid peroxidation assay, GSH measurement","Human, mice","HepG2 and AML-12 cell lines, mouse embryonic fibroblasts cells, ICR mice","SESN2 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Sestrin-2,P58004 (SESN2_HUMAN),31323261,Sesn2 in article
NF2,Neurofibromin 2,HGNC:7773,Genetic inactivation of NF2 rendered cancer cells more sensitive to ferroptosis. Mediates cell density-dependent inhibition of ferroptosis.,"Cell death, cell viability, lipid peroxidation, immunoblotting, CRISPR/Cas9, ChIP assay, qRT-PCR","Human, mice","Mouse embryonic fibroblasts, NF639 cells, human epithelial tumour cells, human mesothelioma cells, xenograft mouse","NF2 :-: YAP, YAP :+: Ferroptosis",Validated,_NA_,Merlin,P35240 (MERL_HUMAN),31341276,Also known as merlin
ARNTL,Aryl hydrocarbon receptor nuclear translocator like,HGNC:701,Degration of the protein is critical for ferroptosis. Blocking ARNTL degradation diminished ferroptotic tumor cell death.,"Cytotoxicity assays, western blot, immunoprecipitation, RNA interference, gene transfection, qPCR, MDA assay","Human, mice","Calu-1, THP1, HT1080, and HL-60 cells, athymic nude mice","ARNTL :-: EGLN2, EGLN2 :-: HIF1A, HIF1A  :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Aryl hydrocarbon receptor nuclear translocator-like protein 1,O00327 (BMAL1_HUMAN),31355331,_NA_
HIF1A,Hypoxia inducible factor 1 subunit alpha,HGNC:4910,Destabilizing HIF1A facilitated ferroptotic tumor cell death.,"Cytotoxicity assays, western blot, immunoprecipitation, RNA interference, gene transfection, qPCR, MDA assay","Human, mice","Calu-1, THP1, HT1080, and HL-60 cells, athymic nude mice","HIF1A  :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Hypoxia-inducible factor 1-alpha,Q16665 (HIF1A_HUMAN),31355331,_NA_
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",HGNC:6204,O-GlcNAcylated c-Jun represents an obstructive factor to ferroptosis.,"Immunofluorescence, western blotting, immunohistochemistry, cell viability, colony formation, qPCR, lipid peroxidation assay, iron assay","Human, mice","Bel-7402, SMMC-7721 cells, athymic nude mice","JUN :+: GSH, GSH :-: Ferroptosis, JUN :+: PSAT1, PSAT1 :-: Ferroptosis, JUN :+: CBS, CBS :-: Ferroptosis",Deduced,_NA_,Transcription factor AP-1,P05412 (JUN_HUMAN),31394193,c-Jun in article
CA9,Carbonic anhydrase 9,HGNC:1383,Inhibition induces ferroptosis.,"qRT-PCR, western blot, cell viability assay, siRNA, ROS detection",Human,"Mesothelioma cell lines ACC-Meso-1, NCI-H2373 and NCI-H2052, mesothelial cell line MeT-5A",CA9 :-: Ferroptosis,Validated,_NA_,Carbonic anhydrase 9,Q16790 (CAH9_HUMAN),31442913,_NA_
HSPA5,Heat shock protein family A (Hsp70) member 5,HGNC:5238,Knockdown of GRP78 enhanced artesunate-induced ferroptosis of pancreatic cancer cells.,"Fluorescent staining, CCK8, Western blot, shRNA, qRT-PCR","Human, mice","Pancreatic cancer cells AsPC-1 and PaTU8988, BALB/c nude mice","GRP78 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Endoplasmic reticulum chaperone BiP,P11021 (BIP_HUMAN),31456633,GRP78 in article
TMBIM4,Transmembrane BAX inhibitor motif containing 4,HGNC:24257,Protects against ferroptosis in HCC cells. Inhibition increased ferroptotic cel death.,"Cell viability and clonogenic survival assay, immunofluorescence, western blot, RNAi, gene transfection, qRT-PCR, lipid peroxidation assay","Human, mice","Hep G2, Huh‐7, SMMC‐7721 and PLC/PRF/5 cells, nude mice",S1R :-: Ferroptosis,Validated,_NA_,Protein lifeguard 4,Q9HC24 (LFG4_HUMAN),31507082,S1R in article
HSPA5,Heat shock protein family A (Hsp70) member 5,HGNC:5238,Serves as a negative regulator of DHA-induced ferroptosis.,"Cell viability, colony formation, cell death, lipid ROS assay, GSH determination, siRNA, western blot, RT-PCR, xenograft tumor model","Human, mice","Glioma cell lines U251 and U373, mouse hippocampal neuronal cell line HT22, athymic nude BALB/c mice","HSPA5 :+: GPX4, GPX4 :-: Ferroptosis",Predicted,_NA_,Endoplasmic reticulum chaperone BiP,P11021 (BIP_HUMAN),31519193,_NA_
PLIN2,Perilipin 2,HGNC:248,An indispensable gene and protein in the suppression of ferroptosis caused by abnormal lipometabolism in gastric carcinoma.,"Cell proliferation and clonogenic assay, cell survival analysis, xenografts tumor, RNA-seq, RT‑qPCR, ROS assay","Human, mice","SGC7901 and MGC803 cells, nude mice",PLIN2 :-: Ferroptosis,Screened,_NA_,Perilipin-2,Q99541 (PLIN2_HUMAN),31520166,Also known as ADRP
MIR212,microRNA 212,HGNC:31589,Overexpression of miR-212-5p attenuated ferroptosis while downregulation of miR-212-5p promoted ferroptotic cell death.,"Controlled cortical impact model, iron assay, MDA assay, RT-PCR, western blotting, cell death",Mice,"HT22 and Neuro-2a cells, C57BL/6 J mice",(miR-212-5p/Ptgs2) :-: Ferroptosis,Validated,_NA_,_NA_,_NA_,31533781,miR-212-5p in article
Fer1HCH,Ferritin 1 Heavy Chain Homolog,_NA_,Reduced heavy chain levels caused severe mitochondrial defects and ferroptosis.,"RT-qPCR, immunohistochemistry, EdU staining, TUNEL staining",Drosophila,Fly,"Fer1HCH :-: ROS, ROS :+: Ferroptosis",Predicted,_NA_,Ferritin,H1UUD2 (H1UUD2_DROME),31568497,_NA_
AIFM2,Apoptosis inducing factor mitochondria associated 2,HGNC:21411,A glutathione-independent ferroptosis suppressor. Pharmacological targeting of FSP1 strongly synergizes with GPX4 inhibitors to trigger ferroptosis.,"Expression cloning, cell death, cell viability, LDH assay, western blot, LC-MS, NADH consumption assay","Human, mice","MCF-7, HT1080, Pfa1 cells","FPS1 :+: CoQ10, CoQ10 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Apoptosis-inducing factor 2,Q9BRQ8 (AIFM2_HUMAN),31634899,FSP1 in article
AIFM2,Apoptosis inducing factor mitochondria associated 2,HGNC:21411,A potent ferroptosis-resistance factor. Positively correlates with ferroptosis resistance.,"Synthetic lethal CRISPR-Cas9 screen, cell death, western blotting, lipid droplet fractionation, glutathione measurement, tumour xenograft growth, CoQ measurement","Human, mice","U-2 OS cell line, NCI-H460, NCI-H2291, NCI-H1703 and NCIH446 cells, C.B17 SCID mice","FPS1 :+: CoQ10, CoQ10 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Apoptosis-inducing factor 2,Q9BRQ8 (AIFM2_HUMAN),31634900,FSP1 in article
LAMP2,Lysosomal associated membrane protein 2,HGNC:6501,Knockdown promoted ferroptosis.,"Cell viability, western blot, ROS induction, glutathione assay, lipid peroxidation assay",Human,"ARPE-19, hfRPE cells","LAMP2 :+: Cysteine, Cysteine :+: GSH, GSH :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Lysosome-associated membrane glycoprotein 2,P13473 (LAMP2_HUMAN),31672277,_NA_
ZFP36,ZFP36 ring finger protein,HGNC:12862,ZFP36 plasmid impaired FBXW7 plasmid-induced HSC ferroptosis. Overexpression of Zfp36 impaired erastin- or sorafenib-induced ferroptosis.,"Cell viability, lipid peroxidation, iron, GSH and ROS assays, western blot, RT-PCR, RNA-seq","Human, mice","Hepatic stellate cells, C57BL/6 mice","ZFP36 :-: ATG16L1, ATG16L1 :+: Ferroptosis",Validated,_NA_,mRNA decay activator protein ZFP36,P26651 (TTP_HUMAN),31679460,_NA_
GPX4,Glutathione peroxidase 4,HGNC:4556,Depletion or inhibition resulted in cell death by ferroptosis.,"Quantitative proteomic analysis, siRNA, RNA-seq and qRT-PCR, cell viability, lipid peroxidation assay, GSH measurement, western blot","Human, mice, rat","H9c2 and C2C12 cells, rat ventricular myocytes, C57BL/6 mice","GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Phospholipid hydroperoxide glutathione peroxidase,P36969 (GPX4_HUMAN),31685805,_NA_
PROM2,Prominin 2,HGNC:20685,Induced by ferroptotic stress and promotes resistance to ferroptotic cell death. Facilitates ferroptosis resistance in mammary epithelial and breast carcinoma cells.,"RNA-seq, western blot, qPCR, siRNA, cell count, cell death, iron assay",Human,"MCF10A, Hs578t and MDA-MB-231 cells","Prominin2 :+: Ferritin-containing MVB, Ferritin-containing MVB :-: Ferroptosis",Validated,_NA_,Prominin-2,Q8N271 (PROM2_HUMAN),31735663,Prominin2 in article
CHMP5,Charged multivesicular body protein 5,HGNC:26942,"Ferroptosis activators increase ESCRT-III subunits (e.g., CHMP5 and CHMP6). Knockdown of CHMP5 or CHMP6 sensitizes human cancer cells to ferroptosis.","RNAi, western blot, iron, malondialdehyde and cytotoxicity assays","Human, mice","PANC1 and HepG2 cells, athymic nude or B6 mice",CHMP5 :-: Ferroptosis,Validated,_NA_,Charged multivesicular body protein 5,Q9NZZ3 (CHMP5_HUMAN),31761326,_NA_
CHMP6,Charged multivesicular body protein 6,HGNC:25675,"Ferroptosis activators increase ESCRT-III subunits (e.g., CHMP5 and CHMP6). Knockdown of CHMP5 or CHMP6 sensitizes human cancer cells to ferroptosis.","RNAi, western blot, iron, malondialdehyde and cytotoxicity assays","Human, mice","PANC1 and HepG2 cells, athymic nude or B6 mice",CHMP6 :-: Ferroptosis,Validated,_NA_,Charged multivesicular body protein 6,Q96FZ7 (CHMP6_HUMAN),31761326,_NA_
AKR1C1,Aldo-keto reductase family 1 member C1,HGNC:384,Inhibition completely resensitizes resistant melanoma cells to ferroptosis execution.,"RNAi, cell transfection, western blotting, qRT-PCR, cell viability, lipid peroxides evaluation",Human,"MeWo, A2058, SK-Mel 5, SK-Mel 24, C8161, CHL-1, and A375 cells","AKR1C1 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Aldo-keto reductase family 1 member C1,Q04828 (AK1C1_HUMAN),31780644,_NA_
AKR1C2,Aldo-keto reductase family 1 member C2,HGNC:385,Inhibition completely resensitizes resistant melanoma cells to ferroptosis execution.,"RNAi, cell transfection, western blotting, qRT-PCR, cell viability, lipid peroxides evaluation",Human,"MeWo, A2058, SK-Mel 5, SK-Mel 24, C8161, CHL-1, and A375 cells","AKR1C2 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Aldo-keto reductase family 1 member C2,P52895 (AK1C2_HUMAN),31780644,_NA_
AKR1C3,Aldo-keto reductase family 1 member C3,HGNC:386,Inhibition completely resensitizes resistant melanoma cells to ferroptosis execution.,"RNAi, cell transfection, western blotting, qRT-PCR, cell viability, lipid peroxides evaluation",Human,"MeWo, A2058, SK-Mel 5, SK-Mel 24, C8161, CHL-1, and A375 cells","AKR1C3 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Aldo-keto reductase family 1 member C3,P42330 (AK1C3_HUMAN),31780644,_NA_
CBS,Cystathionine beta-synthase,HGNC:1550,"Knockdown in erastin-resistant cells caused ferroptotic cell death, while overexpression conferred ferroptosis resistance.","RNAi, cell viability, ROS analysis, GSH, glutamate release and cystine uptake assays, western blotting, qRT-PCR",Human,SKOV3 and OVCA429 cells,"CBS :+: Cystathionine, Cystathionine :+: Cysteine, Cysteine :+: GSH, GSH :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Cystathionine beta-synthase,P35520 (CBS_HUMAN),31819185,_NA_
NFE2L2,"Nuclear factor, erythroid 2 like 2",HGNC:7782,Genetically repression of NRF2 enhanced ferroptosis susceptibility.,"RNAi, cell viability, ROS analysis, GSH, glutamate release and cystine uptake assays, western blotting, qRT-PCR",Human,SKOV3 and OVCA429 cells,"NFE2L2 :+: CBS :+: Cystathionine, Cystathionine :+: Cysteine, Cysteine :+: GSH, GSH :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,Nuclear factor erythroid 2-related factor 2,Q16236 (NF2L2_HUMAN),31819185,NRF2 in article
CAV1,Caveolin 1,HGNC:1527,"Cav-1 deficiency aggravated ferroptosis. Short hairpin RNA of Cav-1 promoted ferroptosis, which was ameliorated by Cav-1 overexpression. ","Immunofluorescence, western blot, ROS detection","Human, mice","LO2 cells, mice model","CAV-1 :+: xCT, xCT :+: GPX4, GPX4 :-: Ferroptosis, CAV-1 :-: RNS, RNS :+: Ferroptosis",Validated,_NA_,Caveolin-1,Q03135 (CAV1_HUMAN),31877357,Cav-1 in article
GCH1,GTP cyclohydrolase 1,HGNC:4193,Gch1 overexpression and its downstream metabolites BH4/BH2 rescue from ferroptosis. Inhibition of GCH1 activity can sensitize resistant cancer cells to ferroptosis induction.,"CRISPR activation screening, qRT-PCR, cell viability, cell counts, western blot",Human,"HT-1080,786-O, A-498, Caki-1, AU565, DU4475, MCF-7 cells","GCH1 :+: Phospholipid, Phospholipid :-: Ferroptosis, GCH1 :+: COQ10, COQ10 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,_NA_,GTP cyclohydrolase 1,P30793 (GCH1_HUMAN),31989025,_NA_
